#StageNum, TotalCellCount, StemCount, DiffCount, MutantCount
0 5 5 0 0 
1 12 8 3 0 
2 23 13 9 0 
3 40 22 18 0 
4 68 36 32 0 
5 113 58 54 0 
6 183 93 89 0 
7 294 150 144 0 
8 470 237 233 0 
9 738 369 368 0 
10 1127 563 564 0 
11 1672 832 839 0 
12 2388 1190 1197 0 
13 3275 1629 1645 0 
14 4279 2132 2147 0 
15 5322 2654 2667 0 
16 6321 3152 3169 0 
17 7202 3589 3613 0 
18 7929 3947 3981 0 
19 8494 4224 4269 0 
20 8908 4425 4483 0 
21 9198 4567 4631 0 
22 9397 4658 4739 0 
23 9528 4715 4812 0 
24 9615 4753 4862 0 
25 9668 4771 4896 0 
26 9701 4780 4921 0 
27 9723 4787 4936 0 
28 9738 4790 4948 0 
29 9746 4786 4960 0 
30 9750 4783 4967 0 
31 9755 4778 4977 0 
32 9756 4773 4983 0 
33 9759 4768 4991 0 
34 9761 4763 4998 0 
35 9760 4755 5005 0 
36 9761 4749 5011 0 
37 9761 4741 5019 0 
38 9760 4737 5023 0 
39 9761 4731 5030 0 
40 9761 4726 5035 0 
41 9763 4722 5040 0 
42 9761 4716 5045 0 
43 9760 4708 5052 0 
44 9760 4703 5057 0 
45 9759 4694 5064 0 
46 9758 4689 5069 0 
47 9758 4682 5075 0 
48 9757 4676 5080 0 
49 9757 4669 5088 0 
50 9753 4663 5090 0 
51 9753 4658 5094 0 
52 9752 4654 5097 0 
53 9754 4650 5104 0 
54 9753 4645 5108 0 
55 9752 4641 5111 0 
56 9751 4634 5117 0 
57 9752 4631 5120 0 
58 9752 4626 5125 0 
59 9752 4623 5129 0 
60 9752 4617 5134 0 
61 9751 4612 5139 0 
62 9749 4606 5143 0 
63 9752 4603 5148 0 
64 9752 4598 5153 0 
65 9752 4594 5157 0 
66 9751 4588 5163 0 
67 9751 4581 5169 0 
68 9750 4577 5172 0 
69 9748 4573 5175 0 
70 9750 4568 5182 0 
71 9750 4563 5186 0 
72 9750 4561 5189 0 
73 9750 4556 5193 0 
74 9748 4551 5197 0 
75 9748 4548 5200 0 
76 9746 4541 5204 0 
77 9747 4537 5209 0 
78 9749 4536 5212 0 
79 9749 4530 5219 0 
80 9749 4527 5222 0 
81 9749 4525 5224 0 
82 9748 4521 5227 0 
83 9749 4517 5231 0 
84 9748 4512 5236 0 
