#StageNum, TotalCellCount, StemCount, DiffCount, MutantCount
0 5 5 0 0 
1 8 5 2 0 
2 10 6 4 0 
3 13 7 6 0 
4 17 8 9 0 
5 19 8 10 0 
6 23 10 12 0 
7 26 11 15 0 
8 29 12 17 0 
9 33 13 19 0 
10 37 14 23 0 
11 42 16 25 0 
12 46 17 28 0 
13 50 19 31 0 
14 54 21 33 0 
15 59 22 36 0 
16 64 24 39 0 
17 69 26 42 0 
18 75 29 45 0 
19 80 31 49 0 
20 86 33 53 0 
21 92 37 55 0 
22 99 39 60 0 
23 106 42 63 0 
24 114 44 69 0 
25 121 48 72 0 
26 130 52 77 0 
27 138 54 84 0 
28 147 57 90 0 
29 156 60 96 0 
30 166 63 102 0 
31 175 68 107 0 
32 185 72 112 0 
33 195 77 118 0 
34 206 80 126 0 
35 217 84 132 0 
36 228 89 138 0 
37 239 93 145 0 
38 250 98 152 0 
39 262 102 159 0 
40 275 109 166 0 
41 288 114 174 0 
42 301 118 183 0 
43 314 123 190 0 
44 326 127 199 0 
45 340 133 207 0 
46 354 138 215 0 
47 368 145 223 0 
48 383 152 230 0 
49 399 158 241 0 
50 413 162 250 0 
51 430 171 258 0 
52 447 179 267 0 
53 463 185 278 0 
54 481 192 288 0 
55 498 197 300 0 
56 514 203 311 0 
57 533 212 321 0 
58 552 220 332 0 
59 571 228 342 0 
60 591 239 352 0 
61 612 246 365 0 
62 632 253 378 0 
63 651 262 389 0 
64 672 270 401 0 
65 693 278 414 0 
66 714 287 426 0 
67 736 296 439 0 
68 760 305 454 0 
69 782 314 467 0 
70 805 324 480 0 
71 828 334 493 0 
72 852 344 507 0 
73 877 351 525 0 
74 901 362 539 0 
75 925 368 556 0 
76 948 380 568 0 
77 972 390 581 0 
78 997 399 598 0 
79 1022 407 615 0 
80 1049 416 632 0 
81 1076 427 648 0 
82 1102 438 664 0 
83 1129 451 678 0 
84 1156 462 693 0 
85 1185 474 711 0 
86 1214 485 728 0 
87 1242 493 748 0 
88 1272 508 763 0 
89 1300 519 780 0 
90 1329 531 797 0 
91 1360 544 816 0 
92 1393 561 832 0 
93 1425 574 850 0 
94 1457 591 865 0 
95 1490 601 889 0 
96 1523 618 905 0 
97 1555 632 922 0 
98 1589 639 949 0 
99 1622 656 966 0 
100 1656 670 985 0 
101 1691 680 1010 0 
102 1726 694 1031 0 
103 1762 709 1052 0 
104 1798 724 1074 0 
105 1833 735 1098 0 
106 1871 753 1118 0 
107 1910 773 1136 0 
108 1947 786 1161 0 
109 1985 804 1181 0 
110 2024 817 1206 0 
111 2063 833 1229 0 
112 2102 852 1249 0 
113 2141 867 1273 0 
114 2181 884 1296 0 
115 2220 900 1320 0 
116 2261 918 1342 0 
117 2303 935 1368 0 
118 2344 951 1393 0 
119 2385 963 1422 0 
120 2427 983 1444 0 
121 2470 1002 1467 0 
122 2510 1012 1498 0 
123 2553 1031 1521 0 
124 2595 1046 1548 0 
125 2638 1063 1574 0 
126 2680 1080 1599 0 
127 2720 1096 1623 0 
128 2761 1117 1643 0 
129 2803 1135 1668 0 
130 2845 1154 1690 0 
131 2887 1166 1720 0 
132 2930 1186 1744 0 
133 2972 1204 1767 0 
134 3014 1214 1799 0 
135 3053 1225 1828 0 
136 3097 1247 1849 0 
137 3139 1264 1874 0 
138 3178 1279 1899 0 
139 3219 1298 1920 0 
140 3258 1313 1944 0 
141 3297 1329 1968 0 
142 3338 1344 1994 0 
143 3377 1359 2017 0 
144 3416 1371 2044 0 
145 3454 1391 2063 0 
146 3492 1407 2085 0 
147 3530 1423 2107 0 
148 3568 1444 2123 0 
149 3609 1461 2147 0 
150 3647 1478 2169 0 
151 3684 1497 2187 0 
152 3721 1503 2218 0 
153 3758 1513 2244 0 
154 3795 1536 2258 0 
155 3831 1559 2272 0 
156 3868 1574 2294 0 
157 3905 1593 2311 0 
158 3940 1601 2338 0 
159 3974 1619 2355 0 
160 4007 1633 2373 0 
161 4040 1646 2393 0 
162 4070 1655 2415 0 
163 4101 1672 2428 0 
164 4134 1678 2456 0 
165 4164 1690 2473 0 
166 4194 1700 2493 0 
167 4224 1713 2510 0 
168 4254 1723 2531 0 
169 4283 1734 2549 0 
170 4313 1749 2564 0 
171 4342 1760 2582 0 
172 4368 1770 2598 0 
173 4396 1779 2617 0 
174 4422 1781 2640 0 
175 4448 1802 2646 0 
176 4473 1818 2655 0 
177 4498 1827 2671 0 
178 4524 1833 2690 0 
179 4549 1845 2704 0 
180 4570 1856 2713 0 
181 4592 1862 2729 0 
182 4616 1867 2748 0 
183 4639 1876 2763 0 
184 4662 1888 2773 0 
185 4685 1895 2789 0 
186 4709 1905 2803 0 
187 4730 1918 2811 0 
188 4755 1924 2831 0 
189 4776 1929 2847 0 
190 4798 1943 2854 0 
191 4820 1948 2872 0 
192 4842 1959 2882 0 
193 4864 1967 2896 0 
194 4885 1975 2909 0 
195 4906 1981 2925 0 
196 4927 2000 2926 0 
197 4948 2015 2932 0 
198 4967 2018 2949 0 
199 4990 2029 2960 0 
200 5011 2037 2974 0 
201 5032 2051 2981 0 
202 5052 2053 2998 0 
203 5073 2067 3005 0 
204 5094 2074 3020 0 
205 5115 2081 3033 0 
206 5134 2081 3052 0 
207 5154 2091 3062 0 
208 5172 2095 3077 0 
209 5192 2108 3083 0 
210 5211 2113 3097 0 
211 5228 2117 3111 0 
212 5248 2121 3127 0 
213 5267 2123 3144 0 
214 5285 2137 3147 0 
215 5302 2144 3157 0 
216 5323 2156 3166 0 
217 5341 2165 3176 0 
218 5359 2166 3193 0 
219 5378 2176 3201 0 
220 5398 2183 3214 0 
221 5416 2191 3224 0 
222 5433 2202 3231 0 
223 5450 2205 3244 0 
224 5466 2208 3258 0 
225 5484 2216 3268 0 
226 5504 2220 3283 0 
227 5522 2238 3283 0 
228 5540 2244 3296 0 
229 5557 2258 3298 0 
230 5575 2268 3306 0 
231 5593 2266 3326 0 
232 5612 2275 3336 0 
233 5629 2281 3348 0 
234 5648 2282 3366 0 
235 5668 2294 3374 0 
236 5684 2296 3387 0 
237 5701 2301 3399 0 
238 5716 2308 3407 0 
239 5734 2316 3418 0 
240 5750 2327 3423 0 
241 5768 2338 3429 0 
242 5785 2342 3443 0 
243 5802 2356 3446 0 
244 5818 2357 3461 0 
245 5837 2365 3471 0 
246 5854 2373 3480 0 
247 5871 2375 3495 0 
248 5887 2376 3510 0 
249 5904 2384 3520 0 
250 5920 2394 3525 0 
251 5937 2399 3538 0 
252 5954 2407 3547 0 
253 5972 2409 3563 0 
254 5987 2425 3562 0 
255 6004 2432 3571 0 
256 6020 2436 3584 0 
257 6034 2446 3588 0 
258 6049 2455 3593 0 
259 6066 2463 3603 0 
260 6082 2469 3613 0 
261 6098 2476 3621 0 
262 6114 2494 3620 0 
263 6131 2491 3640 0 
264 6147 2494 3653 0 
265 6164 2491 3672 0 
266 6178 2506 3672 0 
267 6194 2520 3673 0 
268 6209 2521 3688 0 
269 6225 2529 3696 0 
270 6240 2535 3705 0 
271 6255 2536 3719 0 
272 6272 2546 3725 0 
273 6285 2543 3742 0 
274 6300 2549 3750 0 
275 6314 2560 3753 0 
276 6330 2563 3766 0 
277 6344 2567 3776 0 
278 6361 2570 3790 0 
279 6376 2581 3794 0 
280 6389 2585 3804 0 
281 6401 2587 3814 0 
282 6416 2599 3816 0 
283 6430 2606 3823 0 
284 6444 2614 3830 0 
285 6458 2622 3836 0 
286 6471 2632 3839 0 
287 6486 2627 3859 0 
288 6502 2627 3874 0 
289 6515 2636 3878 0 
290 6527 2642 3885 0 
291 6543 2649 3893 0 
292 6557 2658 3898 0 
293 6570 2655 3914 0 
294 6584 2663 3921 0 
295 6597 2665 3931 0 
296 6610 2674 3935 0 
297 6623 2685 3937 0 
298 6634 2695 3939 0 
299 6648 2710 3938 0 
300 6663 2717 3946 0 
301 6675 2718 3957 0 
302 6689 2724 3964 0 
303 6701 2722 3979 0 
304 6714 2722 3992 0 
305 6725 2722 4003 0 
306 6736 2726 4009 0 
307 6749 2730 4018 0 
308 6760 2727 4032 0 
309 6770 2737 4033 0 
310 6781 2735 4045 0 
311 6792 2745 4047 0 
312 6803 2755 4047 0 
313 6814 2752 4062 0 
314 6825 2765 4060 0 
315 6836 2775 4060 0 
316 6848 2775 4072 0 
317 6859 2784 4074 0 
318 6868 2785 4082 0 
319 6878 2784 4094 0 
320 6888 2785 4102 0 
321 6897 2788 4108 0 
322 6909 2794 4114 0 
323 6919 2800 4119 0 
324 6932 2813 4118 0 
325 6941 2814 4127 0 
326 6953 2819 4134 0 
327 6963 2817 4145 0 
328 6974 2817 4157 0 
329 6985 2819 4166 0 
330 6996 2831 4164 0 
331 7007 2832 4174 0 
332 7015 2839 4175 0 
333 7027 2850 4177 0 
334 7035 2857 4177 0 
335 7043 2853 4189 0 
336 7052 2856 4195 0 
337 7061 2861 4199 0 
338 7070 2865 4204 0 
339 7078 2865 4212 0 
340 7088 2864 4223 0 
341 7096 2870 4225 0 
342 7107 2880 4226 0 
343 7119 2886 4232 0 
344 7126 2891 4235 0 
345 7135 2887 4247 0 
346 7146 2882 4264 0 
347 7154 2887 4266 0 
348 7163 2898 4265 0 
349 7171 2895 4276 0 
350 7180 2911 4269 0 
351 7187 2920 4267 0 
352 7196 2924 4271 0 
353 7205 2927 4277 0 
354 7213 2935 4277 0 
355 7222 2940 4281 0 
356 7227 2936 4291 0 
357 7236 2932 4303 0 
358 7244 2938 4306 0 
359 7252 2935 4316 0 
360 7259 2951 4308 0 
361 7267 2955 4312 0 
362 7276 2952 4323 0 
363 7284 2953 4330 0 
364 7292 2957 4334 0 
365 7299 2960 4339 0 
366 7307 2964 4342 0 
367 7314 2966 4348 0 
368 7321 2973 4348 0 
369 7328 2976 4352 0 
370 7337 2979 4357 0 
371 7345 2983 4362 0 
372 7352 2983 4368 0 
373 7361 2994 4366 0 
374 7368 2992 4376 0 
375 7376 2994 4382 0 
376 7384 2995 4388 0 
377 7390 3001 4389 0 
378 7397 3002 4395 0 
379 7403 3011 4392 0 
380 7409 3008 4401 0 
381 7416 3009 4406 0 
382 7421 3007 4413 0 
383 7428 3017 4411 0 
384 7435 3018 4417 0 
385 7441 3016 4425 0 
386 7446 3019 4426 0 
387 7454 3023 4430 0 
388 7460 3036 4424 0 
389 7468 3035 4432 0 
390 7474 3041 4433 0 
391 7481 3042 4439 0 
392 7487 3034 4452 0 
393 7493 3040 4452 0 
394 7498 3043 4455 0 
395 7505 3047 4457 0 
396 7509 3056 4453 0 
397 7517 3055 4461 0 
398 7522 3066 4456 0 
399 7531 3067 4463 0 
400 7538 3073 4465 0 
401 7545 3070 4475 0 
402 7551 3069 4481 0 
403 7557 3071 4486 0 
404 7560 3072 4487 0 
405 7565 3078 4486 0 
406 7571 3078 4493 0 
407 7578 3081 4497 0 
408 7584 3084 4500 0 
409 7589 3079 4509 0 
410 7595 3078 4516 0 
411 7601 3076 4524 0 
412 7605 3080 4525 0 
413 7611 3081 4530 0 
414 7616 3089 4527 0 
415 7621 3092 4528 0 
416 7624 3095 4528 0 
417 7628 3097 4531 0 
418 7635 3104 4530 0 
419 7642 3111 4531 0 
420 7648 3111 4536 0 
421 7654 3105 4549 0 
422 7661 3109 4551 0 
423 7666 3109 4557 0 
424 7672 3118 4554 0 
425 7678 3118 4559 0 
426 7683 3115 4568 0 
427 7690 3118 4572 0 
428 7695 3123 4571 0 
429 7699 3136 4563 0 
430 7705 3137 4567 0 
431 7710 3135 4574 0 
432 7716 3144 4571 0 
433 7721 3137 4583 0 
434 7727 3131 4595 0 
435 7733 3132 4600 0 
436 7735 3137 4598 0 
437 7741 3134 4607 0 
438 7746 3141 4604 0 
439 7750 3142 4607 0 
440 7756 3142 4614 0 
441 7761 3147 4614 0 
442 7766 3147 4618 0 
443 7772 3158 4614 0 
444 7777 3155 4621 0 
445 7779 3161 4618 0 
446 7786 3172 4613 0 
447 7791 3170 4621 0 
448 7797 3179 4617 0 
449 7802 3172 4630 0 
450 7807 3182 4625 0 
451 7813 3187 4625 0 
452 7817 3179 4638 0 
453 7821 3176 4644 0 
454 7825 3176 4648 0 
455 7831 3183 4647 0 
456 7837 3184 4652 0 
457 7841 3186 4654 0 
458 7845 3180 4665 0 
459 7849 3177 4672 0 
460 7855 3179 4676 0 
461 7859 3182 4677 0 
462 7864 3181 4682 0 
463 7870 3193 4677 0 
464 7873 3193 4680 0 
465 7877 3188 4689 0 
466 7880 3188 4691 0 
467 7885 3197 4687 0 
468 7891 3201 4689 0 
469 7895 3204 4690 0 
470 7898 3206 4692 0 
471 7903 3199 4703 0 
472 7908 3206 4702 0 
473 7911 3211 4699 0 
474 7916 3216 4700 0 
475 7920 3213 4707 0 
476 7926 3214 4712 0 
477 7931 3210 4720 0 
478 7933 3223 4710 0 
479 7935 3225 4709 0 
480 7937 3227 4709 0 
481 7940 3224 4715 0 
482 7943 3217 4725 0 
483 7947 3221 4726 0 
484 7950 3220 4729 0 
485 7955 3222 4733 0 
486 7959 3221 4738 0 
487 7962 3219 4742 0 
488 7964 3225 4738 0 
489 7969 3220 4749 0 
490 7972 3226 4746 0 
491 7975 3227 4748 0 
492 7977 3230 4747 0 
493 7984 3233 4751 0 
494 7987 3234 4752 0 
495 7992 3236 4755 0 
496 7996 3245 4750 0 
497 8000 3247 4753 0 
498 8002 3250 4752 0 
499 8007 3254 4753 0 
500 8010 3259 4751 0 
501 8014 3266 4747 0 
502 8016 3268 4747 0 
503 8019 3256 4763 0 
504 8022 3252 4770 0 
505 8025 3260 4765 0 
506 8028 3269 4758 0 
507 8034 3272 4761 0 
508 8037 3277 4760 0 
509 8038 3274 4764 0 
510 8041 3277 4764 0 
511 8042 3268 4774 0 
512 8045 3272 4773 0 
513 8049 3277 4772 0 
514 8054 3278 4775 0 
515 8058 3274 4783 0 
516 8059 3277 4782 0 
517 8062 3279 4783 0 
518 8065 3274 4790 0 
519 8068 3265 4802 0 
520 8072 3274 4798 0 
521 8074 3280 4793 0 
522 8075 3276 4799 0 
523 8079 3282 4797 0 
524 8081 3277 4804 0 
525 8084 3285 4799 0 
526 8090 3285 4805 0 
527 8093 3282 4811 0 
