#StageNum, CellCount, Sqrt/log, StemCount, DiffCount, MutantCount
0 5 1.6094379124341003 5 0 0
1 8 2.0794415416798357 4 4 0
2 11 2.3978952727983707 1 10 0
3 16 2.772588722239781 4 12 0
4 22 3.091042453358316 6 16 0
5 29 3.367295829986474 7 22 0
6 35 3.5553480614894135 11 24 0
7 45 3.8066624897703196 13 32 0
8 68 4.219507705176107 20 48 0
9 92 4.5217885770490405 30 62 0
10 125 4.8283137373023015 31 94 0
11 161 5.081404364984463 39 122 0
12 195 5.272999558563747 45 150 0
13 241 5.484796933490655 52 189 0
14 307 5.726847747587197 69 237 1
15 367 5.905361848054571 68 298 1
16 418 6.035481432524756 79 338 1
17 507 6.2285110035911835 108 398 1
18 643 6.466144724237619 138 504 1
19 770 6.646390514847729 168 600 2
20 906 6.80903930604298 181 722 3
21 1033 6.940222469119639 190 840 3
22 1181 7.074116816197362 226 952 3
23 1398 7.242797922793756 288 1107 3
24 1612 7.385230923066573 319 1290 3
25 1874 7.535830462798367 388 1483 3
26 2198 7.6953031349635665 466 1729 3
27 2509 7.827639546366422 519 1987 3
28 2881 7.9658927350845286 579 2299 3
29 3261 8.089789175789319 666 2591 4
30 3705 8.217438537730187 759 2942 4
31 4215 8.346404870435956 863 3348 4
32 4649 8.444407421690585 940 3705 4
33 5075 8.532081803909987 1015 4054 6
34 5532 8.61830469278465 1148 4378 6
35 5955 8.691986481789401 1197 4751 7
36 6367 8.758883680017025 1255 5105 7
37 6739 8.815666824946216 1323 5409 7
38 7115 8.869960510523953 1431 5677 7
39 7430 8.913281137711804 1532 5891 7
40 7693 8.948066103458935 1604 6081 8
41 7969 8.983314293397749 1668 6293 8
42 8206 9.012620873002131 1713 6485 8
43 8390 9.034795799461252 1759 6623 8
44 8559 9.05473863988161 1783 6768 8
45 8715 9.07280095795412 1806 6901 8
46 8844 9.087494541977337 1845 6991 8
47 8958 9.100302266767246 1867 7083 8
48 9043 9.10974625674048 1870 7165 8
49 9119 9.118115427933665 1875 7236 8
50 9186 9.12543586488574 1900 7278 8
51 9238 9.13108069099055 1903 7327 8
52 9269 9.134430777875833 1904 7357 8
53 9315 9.13938128303569 1909 7398 8
54 9354 9.143559338285831 1904 7442 8
55 9415 9.150059441091253 1920 7487 8
56 9432 9.151863442217207 1915 7509 8
57 9431 9.151757414543885 1933 7490 8
58 9441 9.152817185732516 1958 7475 8
59 9454 9.154193211353181 1949 7497 8
60 9463 9.155144736508232 1943 7512 8
61 9489 9.15788851197376 1948 7533 8
62 9508 9.159888828480085 1948 7552 8
63 9488 9.157783121237507 1944 7536 8
64 9482 9.157150543462064 1953 7519 10
65 9514 9.160519676992227 1944 7560 10
66 9502 9.159257581746866 1941 7551 10
67 9501 9.15915233520675 1926 7565 10
68 9499 9.158941808890182 1916 7573 10
69 9490 9.157993891603974 1913 7567 10
70 9495 9.158520623246385 1916 7569 10
71 9477 9.156623089470195 1890 7576 11
72 9485 9.157466882369114 1892 7582 11
73 9477 9.156623089470195 1902 7564 11
74 9480 9.156939595249067 1897 7571 12
75 9457 9.154510487015513 1883 7562 12
76 9451 9.153875834995056 1889 7550 12
77 9461 9.154933364704444 1878 7571 12
78 9437 9.152393412021333 1852 7573 12
79 9469 9.1557785839835 1856 7600 13
80 9479 9.156834104453042 1847 7619 13
81 9495 9.158520623246385 1850 7632 13
82 9490 9.157993891603974 1844 7633 13
83 9480 9.156939595249067 1819 7647 14
84 9493 9.158309963881798 1812 7667 14
85 9483 9.157256000883727 1805 7664 14
86 9466 9.155461710466193 1808 7644 14
87 9445 9.15324077993561 1797 7633 15
88 9452 9.1539816383068 1792 7645 15
89 9445 9.15324077993561 1795 7635 15
90 9444 9.153134898205403 1802 7627 15
91 9457 9.154510487015513 1819 7623 15
92 9464 9.155250405658222 1816 7633 15
93 9458 9.15461622320382 1799 7643 16
94 9453 9.154087430425385 1797 7640 16
95 9455 9.154298981092557 1796 7643 16
96 9437 9.152393412021333 1787 7634 16
97 9426 9.151227107483676 1778 7632 16
98 9439 9.152605321324945 1790 7633 16
99 9441 9.152817185732516 1797 7628 16
100 9451 9.153875834995056 1809 7626 16
101 9437 9.152393412021333 1803 7618 16
102 9442 9.152923101106232 1813 7613 16
103 9436 9.152287440527566 1802 7618 16
104 9433 9.151969458649853 1794 7623 16
105 9438 9.152499372286332 1797 7625 16
106 9451 9.153875834995056 1809 7626 16
107 9454 9.154193211353181 1812 7626 16
108 9454 9.154193211353181 1818 7620 16
109 9454 9.154193211353181 1804 7634 16
110 9464 9.155250405658222 1804 7644 16
111 9477 9.156623089470195 1824 7637 16
112 9502 9.159257581746866 1820 7666 16
113 9475 9.156412029950626 1813 7646 16
114 9482 9.157150543462064 1825 7641 16
115 9490 9.157993891603974 1827 7648 15
116 9478 9.156728602527533 1817 7646 15
117 9483 9.157256000883727 1809 7659 15
118 9478 9.156728602527533 1806 7657 15
119 9477 9.156623089470195 1822 7640 15
120 9484 9.157361447185297 1839 7630 15
121 9485 9.157466882369114 1826 7644 15
122 9465 9.155356063643422 1837 7613 15
123 9456 9.15440473964588 1844 7596 16
124 9451 9.153875834995056 1852 7583 16
125 9461 9.154933364704444 1846 7599 16
126 9479 9.156834104453042 1861 7601 17
127 9472 9.156095357123787 1852 7603 17
128 9468 9.155672970633875 1831 7620 17
129 9454 9.154193211353181 1841 7596 17
130 9466 9.155461710466193 1834 7615 17
131 9474 9.156306483483696 1840 7617 17
132 9473 9.156200925875535 1827 7629 17
133 9468 9.155672970633875 1823 7629 16
134 9483 9.157256000883727 1812 7653 18
135 9488 9.157783121237507 1805 7665 18
136 9480 9.156939595249067 1803 7659 18
137 9473 9.156200925875535 1808 7646 19
138 9473 9.156200925875535 1808 7647 18
139 9479 9.156834104453042 1787 7674 18
140 9479 9.156834104453042 1771 7690 18
141 9481 9.15704507491796 1781 7681 19
142 9462 9.155039056191093 1769 7674 19
143 9455 9.154298981092557 1756 7680 19
144 9466 9.155461710466193 1757 7690 19
145 9471 9.155989777226102 1750 7702 19
146 9452 9.1539816383068 1752 7681 19
147 9439 9.152605321324945 1747 7673 19
148 9443 9.15302900526307 1738 7687 18
149 9459 9.15472194821317 1748 7693 18
150 9452 9.1539816383068 1756 7678 18
151 9432 9.151863442217207 1751 7663 18
152 9416 9.150165648940114 1758 7640 18
153 9450 9.153770020487789 1770 7662 18
154 9447 9.153452509769135 1772 7657 18
155 9456 9.15440473964588 1766 7672 18
156 9474 9.156306483483696 1786 7670 18
157 9473 9.156200925875535 1775 7680 18
158 9472 9.156095357123787 1780 7674 18
159 9463 9.155144736508232 1799 7646 18
160 9470 9.155884186180124 1804 7648 18
161 9479 9.156834104453042 1808 7653 18
162 9467 9.15556734612889 1792 7657 18
163 9468 9.155672970633875 1800 7650 18
164 9466 9.155461710466193 1780 7668 18
165 9456 9.15440473964588 1773 7665 18
166 9460 9.154827662045925 1770 7670 20
167 9464 9.155250405658222 1785 7659 20
168 9455 9.154298981092557 1796 7639 20
169 9448 9.153558357877198 1796 7632 20
170 9442 9.152923101106232 1813 7609 20
171 9433 9.151969458649853 1812 7601 20
172 9439 9.152605321324945 1816 7603 20
