#StageNum, CellCount, Sqrt/log, StemCount, DiffCount, MutantCount
0 5 2.23606797749979 5 0 0
1 6 2.449489742783178 5 1 0
2 6 2.449489742783178 5 1 0
3 12 3.4641016151377544 12 0 0
4 19 4.358898943540674 17 2 0
5 32 5.656854249492381 29 3 0
6 49 7.0 36 13 0
7 57 7.54983443527075 39 18 0
8 64 8.0 42 22 0
9 76 8.717797887081348 56 20 0
10 84 9.16515138991168 68 16 0
11 100 10.0 76 24 0
12 117 10.816653826391969 97 20 0
13 132 11.489125293076057 115 17 0
14 155 12.449899597988733 127 28 0
15 168 12.96148139681572 129 39 0
16 199 14.106735979665885 164 32 3
17 226 15.033296378372908 174 51 1
18 251 15.84297951775486 192 58 1
19 270 16.431676725154983 211 58 1
20 305 17.46424919657298 239 65 1
21 328 18.110770276274835 263 65 0
22 367 19.157244060668017 303 64 0
23 399 19.974984355438178 312 86 1
24 426 20.639767440550294 326 99 1
25 466 21.587033144922902 354 111 1
26 499 22.338307903688676 383 116 0
27 536 23.15167380558045 405 131 0
28 578 24.041630560342615 446 132 0
29 609 24.677925358506133 473 136 0
30 640 25.298221281347036 486 154 0
31 681 26.095976701399778 515 166 0
32 715 26.739483914241877 556 159 0
33 754 27.459060435491963 572 182 0
34 787 28.053520278211074 602 185 0
35 819 28.61817604250837 623 196 0
36 869 29.478805945967352 688 181 0
37 932 30.528675044947494 708 224 0
38 972 31.176914536239792 728 244 0
39 1018 31.906112267087632 761 257 0
40 1067 32.66496594212215 801 265 1
41 1132 33.645207682521445 869 263 0
42 1189 34.48187929913333 900 289 0
43 1250 35.35533905932738 942 308 0
44 1314 36.24913792078372 997 317 0
45 1382 37.17526059088221 1054 327 1
46 1461 38.22302970723278 1138 323 0
47 1532 39.14077158156185 1191 340 1
48 1613 40.162171256046406 1243 368 2
49 1677 40.95119045888654 1264 413 0
50 1764 42.0 1344 417 3
51 1857 43.09292285283048 1456 400 1
52 1930 43.93176527297759 1499 429 2
53 2011 44.844174649557324 1578 432 1
54 2121 46.05431575867782 1683 435 3
55 2209 47.0 1750 457 2
56 2319 48.155996511338024 1794 522 3
57 2421 49.20365840057018 1888 531 2
58 2523 50.22947341949744 1950 572 1
59 2638 51.36146415358503 2026 609 3
60 2700 51.96152422706632 2061 635 4
61 2807 52.98112871579842 2173 634 0
62 2934 54.16641025580336 2289 643 2
63 3051 55.235857918565905 2385 664 2
64 3163 56.24055476255546 2489 672 2
65 3283 57.29746940310715 2557 721 5
66 3391 58.23229344616267 2619 769 3
67 3511 59.253691868102194 2720 789 2
68 3630 60.249481325568276 2798 832 0
69 3744 61.18823416311342 2849 892 3
70 3863 62.153036933041335 2974 886 3
71 3984 63.118935352238 3052 929 3
72 4109 64.10148204214939 3192 914 3
73 4231 65.04613747179766 3303 925 3
74 4342 65.89385403814228 3384 951 7
75 4457 66.76076692189807 3470 983 4
76 4569 67.59437846448475 3522 1039 8
77 4679 68.40321629865075 3578 1094 7
78 4796 69.25315877272314 3696 1092 8
79 4922 70.15696686716153 3834 1080 8
80 5058 71.11961754677819 3933 1118 7
81 5183 71.99305522062528 4072 1104 7
82 5326 72.97944916207575 4195 1123 8
83 5476 74.0 4320 1153 3
84 5613 74.91995728776145 4385 1224 4
85 5705 75.53145040312677 4376 1320 9
86 5788 76.07890640644094 4426 1352 10
87 5903 76.83098333354845 4527 1369 7
88 5977 77.31106001084191 4596 1370 11
89 6055 77.8138805098422 4698 1352 5
90 6112 78.17928114276826 4807 1300 5
91 6217 78.84795495128583 4824 1388 5
92 6300 79.37253933193772 4951 1342 7
93 6386 79.91245209602819 5059 1321 6
94 6459 80.36790404135223 5098 1357 4
95 6533 80.82697569499925 5120 1407 6
96 6623 81.38181615078395 5184 1433 6
97 6711 81.92069335644078 5233 1469 9
98 6776 82.3164625090267 5213 1554 9
99 6861 82.83115355951527 5307 1543 11
100 6913 83.14445261110329 5360 1545 8
101 6996 83.64209466530593 5458 1530 8
102 7061 84.02975663418287 5433 1619 9
103 7161 84.62269199216011 5592 1563 6
104 7242 85.09994124557313 5675 1557 10
105 7294 85.4049178911847 5776 1513 5
106 7372 85.86035173466273 5812 1554 6
107 7440 86.2554346113913 5805 1625 10
108 7499 86.59676668328905 5841 1653 5
109 7553 86.90799733051038 5830 1715 8
110 7627 87.33269719870101 5916 1708 3
111 7706 87.78382538941898 5980 1720 6
112 7754 88.05679985100527 6028 1723 3
113 7809 88.3685464404615 6031 1774 4
114 7862 88.66791979064357 6099 1759 4
115 7931 89.05616205518852 6192 1734 5
116 7988 89.37561188601732 6244 1737 7
117 8032 89.62142600963232 6289 1735 8
118 8081 89.89438247187641 6241 1831 9
119 8109 90.0499861188218 6247 1849 13
120 8162 90.34378783292186 6305 1845 12
121 8220 90.66421565314509 6413 1797 10
122 8279 90.98901032542337 6474 1796 9
123 8317 91.19758768739445 6459 1849 9
124 8347 91.36191766814004 6476 1863 8
125 8409 91.70059977993601 6596 1807 6
126 8471 92.03803561571705 6604 1863 4
127 8526 92.33634170791044 6593 1925 8
128 8585 92.65527507918802 6672 1905 8
129 8626 92.87626176801045 6714 1907 5
130 8667 93.0967238950974 6795 1868 4
131 8719 93.37558567420072 6880 1831 8
132 8760 93.59487165438073 6855 1895 10
133 8775 93.67496997597597 6894 1871 10
134 8796 93.78699270154684 6875 1909 12
135 8832 93.97872099576584 6948 1869 15
136 8862 94.13819628609845 6935 1919 8
137 8895 94.31330765061736 7060 1823 12
138 8917 94.42986815621421 7042 1870 5
139 8922 94.45633912025174 6932 1982 8
140 8947 94.58858282054976 6990 1940 17
141 8962 94.66784036831093 6957 1993 12
142 8995 94.84197383015602 7021 1962 12
143 9027 95.01052573267869 7025 1989 13
144 9056 95.16301802696255 7034 2012 10
145 9078 95.27853903162034 7026 2041 11
146 9125 95.524865872714 6970 2146 9
147 9112 95.4567965102538 6973 2134 5
148 9137 95.58765610684259 7106 2028 3
149 9144 95.62426470305536 7097 2043 4
150 9173 95.77577981932593 7157 2008 8
151 9209 95.96353474106714 7138 2064 7
152 9217 96.00520819205592 7157 2048 12
153 9242 96.13532129243653 7161 2074 7
154 9251 96.18211892030659 7216 2029 6
155 9279 96.32756614801393 7201 2068 10
156 9303 96.45206063117574 7288 2007 8
157 9330 96.591925128346 7300 2014 16
158 9368 96.78842906050289 7378 1977 13
159 9397 96.93812459502195 7291 2095 11
160 9422 97.06698717895802 7272 2137 13
161 9408 96.99484522385713 7356 2041 11
162 9451 97.21625378505387 7339 2104 8
163 9485 97.3909646733207 7368 2111 6
164 9479 97.36015612148535 7424 2045 10
165 9492 97.4268956705488 7423 2060 9
166 9500 97.46794344808964 7356 2132 12
167 9532 97.63196197967139 7415 2104 13
168 9539 97.66780431646859 7467 2056 16
169 9570 97.82637681116479 7487 2072 11
170 9573 97.8417088975862 7486 2078 9
171 9581 97.88258272031854 7503 2062 16
172 9606 98.01020355044673 7422 2166 18
173 9620 98.08159868191383 7462 2147 11
174 9629 98.12746812182611 7448 2169 12
175 9654 98.25477087653302 7608 2035 11
176 9660 98.28529900244492 7584 2068 8
177 9660 98.28529900244492 7537 2112 11
178 9676 98.3666610188635 7487 2182 7
179 9701 98.49365461794989 7508 2187 6
180 9693 98.45303448853164 7589 2099 5
181 9707 98.52410872471773 7595 2101 11
182 9741 98.69650449737316 7574 2160 7
183 9717 98.57484466130292 7609 2099 9
184 9726 98.62048468751307 7533 2187 6
185 9744 98.71170143402453 7565 2173 6
186 9746 98.72183142547549 7547 2187 12
187 9735 98.66610360199697 7482 2243 10
188 9759 98.78765105011861 7537 2211 11
189 9771 98.84836872705588 7497 2265 9
190 9759 98.78765105011861 7634 2119 6
191 9775 98.86859966642594 7583 2183 9
192 9780 98.89388252060893 7674 2098 8
193 9780 98.89388252060893 7644 2126 10
194 9772 98.85342685005918 7556 2207 9
195 9780 98.89388252060893 7649 2121 10
196 9778 98.88377015466189 7652 2118 8
197 9785 98.91915891272023 7599 2178 8
198 9790 98.94442884771229 7640 2141 9
199 9794 98.96464014990404 7620 2167 7
200 9797 98.97979591815695 7615 2173 9
