#StageNum, CellCount, Sqrt/log, StemCount, DiffCount, MutantCount
0 5 1.6094379124341003 5 0 0
1 15 2.70805020110221 10 5 0
2 38 3.6375861597263857 17 21 0
3 54 3.9889840465642745 21 33 0
4 81 4.394449154672439 31 50 0
5 109 4.6913478822291435 36 73 0
6 176 5.170483995038151 83 93 0
7 268 5.5909869805108565 124 144 0
8 399 5.988961416889864 172 227 0
9 612 6.416732282512326 249 363 0
10 914 6.81783057145415 376 538 0
11 1314 7.1808311990445555 555 759 0
12 1846 7.520776415062797 770 1076 0
13 2525 7.83399634170946 1020 1505 0
14 3274 8.09376775793108 1301 1973 0
15 4116 8.32263709695394 1621 2495 0
16 5047 8.526549286340263 1967 3080 0
17 5868 8.677269139262872 2310 3558 0
18 6679 8.806723554725636 2619 4060 0
19 7391 8.908018322784887 2941 4450 0
20 7962 8.982435503560263 3138 4824 0
21 8428 9.03931477492408 3309 5119 0
22 8782 9.080459451121662 3440 5342 0
23 9057 9.111293218374948 3550 5507 0
24 9246 9.13194630454817 3632 5614 0
25 9375 9.14580185083861 3653 5722 0
26 9477 9.156623089470195 3709 5768 0
27 9559 9.165238398063762 3754 5805 0
28 9569 9.166283985779263 3744 5825 0
29 9617 9.171287644712482 3764 5853 0
30 9628 9.172430798902962 3781 5847 0
31 9652 9.174920426744922 3771 5881 0
32 9669 9.176680170483548 3785 5884 0
33 9683 9.17812704961153 3801 5882 0
34 9685 9.178333575841096 3790 5895 0
35 9699 9.179778066393542 3783 5916 0
36 9685 9.178333575841096 3752 5933 0
37 9697 9.179571838304547 3743 5954 0
38 9702 9.180087328805161 3730 5972 0
39 9708 9.180705566846491 3715 5993 0
40 9712 9.181117513299279 3722 5990 0
41 9734 9.1833801903934 3713 6021 0
42 9722 9.1821466376054 3702 6020 0
43 9730 9.18296917518005 3702 6028 0
44 9705 9.18039649560311 3682 6023 0
45 9710 9.18091156128537 3666 6044 0
46 9710 9.18091156128537 3650 6060 0
47 9699 9.179778066393542 3636 6063 0
48 9682 9.178023770499639 3630 6052 0
49 9659 9.175645402179295 3628 6031 0
50 9662 9.175955945114351 3621 6041 0
51 9671 9.176886995716963 3615 6056 0
52 9691 9.17895289873455 3608 6083 0
53 9690 9.178849704884811 3595 6095 0
54 9678 9.177610547353265 3583 6095 0
55 9697 9.179571838304547 3591 6106 0
56 9697 9.179571838304547 3594 6103 0
57 9694 9.17926241640532 3577 6117 0
58 9690 9.178849704884811 3581 6109 0
59 9670 9.17678358844734 3568 6102 0
60 9701 9.179984251961283 3569 6132 0
61 9697 9.179571838304547 3563 6134 0
62 9694 9.17926241640532 3559 6135 0
63 9701 9.179984251961283 3581 6120 0
64 9695 9.179365567676752 3575 6120 0
65 9684 9.178230318057949 3550 6134 0
66 9708 9.180705566846491 3564 6144 0
67 9695 9.179365567676752 3551 6144 0
68 9673 9.177093778182547 3534 6139 0
69 9694 9.17926241640532 3542 6152 0
70 9691 9.17895289873455 3535 6156 0
71 9691 9.17895289873455 3534 6157 0
72 9686 9.178436822963175 3533 6153 0
73 9681 9.177920480720072 3529 6152 0
74 9670 9.17678358844734 3526 6144 0
75 9670 9.17678358844734 3513 6157 0
76 9672 9.176990392294629 3514 6158 0
77 9668 9.176576741823373 3519 6149 0
78 9659 9.175645402179295 3502 6157 0
79 9662 9.175955945114351 3483 6179 0
80 9664 9.176162920174596 3477 6187 0
81 9666 9.17636985240503 3495 6171 0
82 9673 9.177093778182547 3494 6179 0
83 9683 9.17812704961153 3494 6189 0
84 9673 9.177093778182547 3480 6193 0
85 9667 9.176473302464606 3450 6217 0
86 9680 9.177817180270623 3450 6230 0
87 9678 9.177610547353265 3444 6234 0
88 9671 9.176886995716963 3428 6243 0
89 9681 9.177920480720072 3432 6249 0
90 9683 9.17812704961153 3431 6252 0
91 9674 9.177197153382929 3413 6261 0
92 9687 9.178540059426386 3426 6261 0
93 9704 9.180293450623886 3448 6256 0
94 9681 9.177920480720072 3430 6251 0
95 9706 9.18049952996516 3413 6293 0
96 9702 9.180087328805161 3406 6296 0
97 9706 9.18049952996516 3393 6313 0
98 9692 9.179056081936416 3367 6325 0
99 9676 9.177403871729918 3348 6328 0
100 9677 9.177507214880942 3332 6345 0
101 9664 9.176162920174596 3320 6344 0
102 9657 9.175438319966918 3304 6353 0
103 9675 9.177300517897983 3286 6389 0
104 9685 9.178333575841096 3298 6387 0
105 9666 9.17636985240503 3292 6374 0
106 9662 9.175955945114351 3257 6405 0
107 9655 9.175231194862615 3239 6416 0
108 9661 9.17585244151751 3227 6434 0
109 9664 9.176162920174596 3217 6447 0
110 9660 9.175748927206564 3226 6434 0
111 9673 9.177093778182547 3214 6459 0
112 9654 9.175127616220438 3203 6451 0
