#StageNum, CellCount, Sqrt/log, StemCount, DiffCount, MutantCount
0 5 2.23606797749979 5 0 0
1 8 2.8284271247461903 8 0 0
2 13 3.605551275463989 11 2 0
3 15 3.872983346207417 10 5 0
4 19 4.358898943540674 9 10 0
5 31 5.5677643628300215 10 21 0
6 35 5.916079783099616 7 28 0
7 36 6.0 9 27 0
8 35 5.916079783099616 6 29 0
9 40 6.324555320336759 13 27 0
10 46 6.782329983125268 14 32 0
11 56 7.483314773547883 18 38 0
12 64 8.0 19 45 0
13 65 8.06225774829855 19 46 0
14 70 8.366600265340756 22 48 0
15 74 8.602325267042627 21 53 0
16 80 8.94427190999916 20 60 0
17 83 9.1104335791443 27 56 0
18 86 9.273618495495704 29 57 0
19 93 9.643650760992955 27 66 0
20 98 9.899494936611665 31 67 0
21 102 10.099504938362077 24 78 0
22 111 10.535653752852738 25 86 0
23 116 10.770329614269007 30 86 0
24 123 11.090536506409418 30 93 0
25 135 11.61895003862225 31 104 0
26 137 11.704699910719626 26 111 0
27 135 11.61895003862225 22 113 0
28 142 11.916375287812984 30 112 0
29 144 12.0 27 117 0
30 147 12.12435565298214 27 120 0
31 153 12.36931687685298 24 129 0
32 157 12.529964086141668 24 133 0
33 160 12.649110640673518 22 138 0
34 162 12.727922061357855 23 139 0
35 166 12.884098726725126 27 139 0
36 171 13.076696830622021 28 143 0
37 173 13.152946437965905 31 142 0
38 176 13.2664991614216 32 144 0
39 176 13.2664991614216 37 139 0
40 177 13.30413469565007 36 141 0
41 184 13.564659966250536 43 141 0
42 185 13.601470508735444 30 155 0
43 187 13.674794331177344 28 159 0
44 190 13.784048752090222 36 154 0
45 189 13.74772708486752 35 154 0
46 190 13.784048752090222 30 160 0
47 191 13.820274961085254 31 160 0
48 191 13.820274961085254 37 154 0
49 190 13.784048752090222 25 165 0
50 196 14.0 23 173 0
51 196 14.0 25 171 0
52 194 13.92838827718412 34 160 0
53 191 13.820274961085254 35 156 0
54 195 13.96424004376894 28 167 0
55 200 14.142135623730951 27 173 0
56 203 14.247806848775006 22 181 0
57 204 14.2828568570857 25 179 0
58 204 14.2828568570857 32 172 0
59 207 14.38749456993816 38 169 0
60 211 14.52583904633395 36 175 0
61 211 14.52583904633395 44 167 0
62 215 14.66287829861518 37 178 0
63 216 14.696938456699069 37 179 0
64 220 14.832396974191326 36 184 0
65 221 14.866068747318506 35 186 0
66 223 14.933184523068078 27 196 0
67 228 15.0996688705415 35 193 0
68 233 15.264337522473747 38 195 0
69 235 15.329709716755891 41 194 0
70 243 15.588457268119896 53 190 0
71 247 15.716233645501712 49 198 0
72 255 15.968719422671311 53 202 0
73 263 16.217274740226856 61 202 0
74 273 16.522711641858304 59 214 0
75 276 16.61324772583615 59 217 0
76 281 16.76305461424021 65 216 0
77 287 16.941074346097416 61 226 0
78 293 17.11724276862369 59 234 0
79 293 17.11724276862369 53 240 0
80 301 17.349351572897472 58 243 0
