#StageNum, CellCount, Sqrt/log, StemCount, DiffCount, MutantCount
0 5 1.6094379124341003 5 0 0
1 8 2.0794415416798357 6 2 0
2 13 2.5649493574615367 11 2 0
3 32 3.4657359027997265 16 16 0
4 48 3.871201010907891 24 24 0
5 79 4.3694478524670215 41 38 0
6 135 4.90527477843843 71 64 0
7 211 5.351858133476067 112 99 0
8 330 5.799092654460526 174 156 0
9 513 6.240275845170769 252 261 0
10 825 6.715383386334681 439 386 0
11 1293 7.164720378771857 645 648 0
12 1975 7.5883236773352225 992 983 0
13 2840 7.951559331155252 1433 1407 0
14 3939 8.278682162970906 1983 1956 0
15 5128 8.542470998600505 2554 2574 0
16 6280 8.745125259462244 3160 3120 0
17 7301 8.895766604056085 3617 3684 0
18 8065 8.99528899055931 4000 4065 0
19 8636 9.063694791634697 4253 4383 0
20 9034 9.108750516214549 4396 4638 0
21 9292 9.1369090938903 4533 4759 0
22 9483 9.157256000883727 4654 4829 0
23 9593 9.168788944817948 4702 4891 0
24 9655 9.175231194862615 4720 4935 0
25 9723 9.182249491809657 4730 4993 0
26 9742 9.184201714366488 4740 5002 0
27 9751 9.18512512283512 4745 5006 0
28 9757 9.18574025510795 4737 5020 0
29 9774 9.1874810778301 4730 5044 0
30 9752 9.185227671161108 4715 5037 0
31 9742 9.184201714366488 4695 5047 0
32 9740 9.18399639663658 4684 5056 0
33 9729 9.182866394975427 4666 5063 0
34 9737 9.183688340978756 4670 5067 0
35 9710 9.18091156128537 4626 5084 0
36 9737 9.183688340978756 4648 5089 0
37 9749 9.184919994629272 4657 5092 0
38 9762 9.186252576447092 4673 5089 0
39 9736 9.183585634667363 4664 5072 0
40 9762 9.186252576447092 4672 5090 0
41 9759 9.18594521514146 4657 5102 0
42 9770 9.187071745036828 4649 5121 0
43 9786 9.188708071849069 4654 5132 0
44 9776 9.187685681411377 4641 5135 0
45 9749 9.184919994629272 4619 5130 0
46 9755 9.185535253057212 4625 5130 0
47 9740 9.18399639663658 4617 5123 0
48 9744 9.184406989949679 4607 5137 0
49 9757 9.18574025510795 4595 5162 0
50 9751 9.18512512283512 4582 5169 0
51 9738 9.183791036742646 4568 5170 0
52 9752 9.185227671161108 4578 5174 0
53 9757 9.18574025510795 4556 5201 0
54 9737 9.183688340978756 4538 5199 0
55 9730 9.18296917518005 4533 5197 0
56 9742 9.184201714366488 4541 5201 0
57 9756 9.18563775933581 4551 5205 0
58 9754 9.185432736269998 4551 5203 0
59 9744 9.184406989949679 4547 5197 0
60 9743 9.184304357425342 4528 5215 0
61 9756 9.18563775933581 4532 5224 0
62 9755 9.185535253057212 4539 5216 0
63 9751 9.18512512283512 4512 5239 0
64 9730 9.18296917518005 4489 5241 0
65 9713 9.18122047340233 4488 5225 0
66 9715 9.18142636181154 4492 5223 0
67 9739 9.1838937219612 4507 5232 0
68 9749 9.184919994629272 4513 5236 0
69 9749 9.184919994629272 4520 5229 0
70 9740 9.18399639663658 4522 5218 0
71 9729 9.182866394975427 4522 5207 0
