#StageNum, CellCount, Sqrt/log, StemCount, DiffCount, MutantCount
0 5 2.23606797749979 5 0 0
1 9 3.0 9 0 0
2 11 3.3166247903554 11 0 0
3 12 3.4641016151377544 12 0 0
4 19 4.358898943540674 19 0 0
5 26 5.0990195135927845 26 0 0
6 30 5.477225575051661 30 0 0
7 39 6.244997998398398 39 0 0
8 52 7.211102550927978 52 0 0
9 68 8.246211251235321 68 0 0
10 85 9.219544457292887 85 0 0
11 105 10.246950765959598 105 0 0
12 124 11.135528725660043 124 0 0
13 153 12.36931687685298 153 0 0
14 185 13.601470508735444 185 0 0
15 203 14.247806848775006 203 0 0
16 233 15.264337522473747 233 0 0
17 271 16.46207763315433 271 0 0
18 311 17.635192088548397 311 0 0
19 356 18.867962264113206 356 0 0
20 405 20.12461179749811 405 0 0
21 456 21.354156504062622 456 0 0
22 492 22.181073012818835 492 0 0
23 531 23.043437243605826 531 0 0
24 580 24.08318915758459 580 0 0
25 629 25.079872407968907 629 0 0
26 677 26.019223662515376 677 0 0
27 747 27.331300737432898 747 0 0
28 836 28.91366458960192 836 0 0
29 890 29.832867780352597 890 0 0
30 971 31.160872901765767 971 0 0
31 1055 32.48076353782343 1055 0 0
32 1135 33.689761055846034 1135 0 0
33 1231 35.08560958569767 1231 0 0
34 1318 36.30426972134269 1318 0 0
35 1405 37.48332962798263 1405 0 0
36 1507 38.82009788756334 1507 0 0
37 1619 40.23679907746142 1619 0 0
38 1729 41.58124577258358 1729 0 0
39 1841 42.906875905849866 1841 0 0
40 1968 44.36214602563767 1968 0 0
41 2112 45.95650117230423 2112 0 0
42 2239 47.31807265728392 2239 0 0
43 2372 48.703182647543684 2372 0 0
44 2496 49.95998398718719 2496 0 0
45 2619 51.176166327695945 2619 0 0
46 2728 52.230259428802384 2728 0 0
47 2851 53.39475629684998 2851 0 0
48 2976 54.55272678794342 2976 0 0
49 3080 55.49774770204643 3080 0 0
50 3221 56.753854494650845 3221 0 0
51 3359 57.956880523368405 3359 0 0
52 3509 59.23681287847955 3509 0 0
53 3661 60.50619802962338 3661 0 0
54 3841 61.97580172938467 3841 0 0
55 3999 63.23764701504951 3999 0 0
56 4151 64.42825467137845 4151 0 0
57 4301 65.58200972827838 4301 0 0
58 4488 66.9925368977769 4488 0 0
59 4671 68.3447144993671 4671 0 0
60 4851 69.6491205974634 4851 0 0
61 5001 70.71774883294857 5001 0 0
62 5157 71.81225522151495 5157 0 0
63 5311 72.8766080440082 5311 0 0
64 5471 73.96620850090939 5471 0 0
65 5644 75.1265598839718 5644 0 0
66 5810 76.22335600063802 5810 0 0
67 5968 77.25283166331187 5968 0 0
68 6117 78.21125238736431 6117 0 0
69 6231 78.93668348746354 6231 0 0
70 6336 79.5989949685296 6336 0 0
71 6471 80.44252606675154 6471 0 0
72 6593 81.19729059519166 6593 0 0
73 6708 81.90238091777309 6708 0 0
74 6812 82.5348411278534 6812 0 0
75 6921 83.19254774317228 6921 0 0
76 7032 83.85702117294652 7032 0 0
77 7111 84.32674546073743 7111 0 0
78 7208 84.8999411071645 7208 0 0
79 7292 85.39320816083678 7292 0 0
80 7369 85.84287972802403 7369 0 0
81 7480 86.48699324175861 7480 0 0
82 7561 86.95401083331349 7561 0 0
83 7645 87.43569065318808 7645 0 0
84 7718 87.8521485223896 7718 0 0
85 7811 88.37986195961159 7811 0 0
86 7874 88.73556220591607 7874 0 0
87 7936 89.08422980528034 7936 0 0
88 7986 89.36442245099556 7986 0 0
89 8045 89.69392398596462 8045 0 0
90 8120 90.11104260855048 8120 0 0
91 8175 90.41570660012562 8175 0 0
92 8216 90.64215354899729 8216 0 0
93 8257 90.86803618434813 8257 0 0
94 8306 91.13725912051558 8306 0 0
95 8340 91.32360045464699 8340 0 0
96 8367 91.47130697655959 8367 0 0
97 8405 91.67878707749138 8405 0 0
98 8443 91.88579868510693 8443 0 0
99 8488 92.13034245024816 8488 0 0
100 8547 92.44998647917694 8547 0 0
101 8577 92.61209424259879 8577 0 0
102 8586 92.66067126888301 8586 0 0
103 8611 92.79547402756236 8611 0 0
104 8623 92.86010984270911 8623 0 0
105 8660 93.05912099305473 8660 0 0
106 8693 93.23625904121208 8693 0 0
107 8700 93.27379053088815 8700 0 0
108 8735 93.46122190513026 8735 0 0
109 8769 93.64293886887575 8769 0 0
110 8802 93.81897462667133 8802 0 0
111 8842 94.03190947758107 8842 0 0
112 8865 94.15412895885129 8865 0 0
113 8902 94.35041070392857 8902 0 0
114 8927 94.4828026679988 8927 0 0
115 8973 94.72592042308166 8973 0 0
116 8993 94.83142938920619 8993 0 0
117 9041 95.08417323613851 9041 0 0
118 9084 95.31002045955084 9084 0 0
119 9094 95.36246641105713 9094 0 0
120 9106 95.42536350467836 9106 0 0
121 9129 95.54580053565934 9129 0 0
122 9164 95.72878355019456 9164 0 0
123 9185 95.83840566286565 9185 0 0
124 9200 95.91663046625439 9200 0 0
125 9226 96.05206921248495 9226 0 0
126 9232 96.08329719571451 9232 0 0
127 9244 96.14572273377532 9244 0 0
128 9276 96.31199302267605 9276 0 0
129 9284 96.35351576356723 9284 0 0
130 9305 96.46242791885346 9305 0 0
131 9331 96.59710140578754 9331 0 0
132 9350 96.69539802906858 9350 0 0
133 9382 96.8607247546703 9382 0 0
134 9403 96.96906723280368 9403 0 0
135 9420 97.05668446840743 9420 0 0
136 9441 97.16480844420988 9441 0 0
137 9480 97.36529155710468 9480 0 0
138 9499 97.46281342132495 9499 0 0
139 9518 97.56023780208821 9518 0 0
140 9529 97.6165969494942 9529 0 0
141 9535 97.64732459212593 9535 0 0
142 9580 97.87747442593725 9580 0 0
143 9591 97.93365100924197 9591 0 0
144 9624 98.10198774744578 9624 0 0
145 9629 98.12746812182611 9629 0 0
146 9623 98.09689087835557 9623 0 0
147 9654 98.25477087653302 9654 0 0
148 9672 98.34632682515398 9672 0 0
149 9684 98.40731680114035 9684 0 0
150 9723 98.60527369263775 9723 0 0
151 9731 98.6458311334037 9731 0 0
152 9716 98.56977224281286 9716 0 0
153 9739 98.68637190615532 9739 0 0
154 9761 98.79777325425913 9761 0 0
155 9767 98.82813364624468 9767 0 0
156 9773 98.85848471426213 9773 0 0
157 9781 98.89893831583835 9781 0 0
158 9786 98.92421341612983 9786 0 0
159 9796 98.97474425326898 9796 0 0
160 9825 99.12113800799504 9825 0 0
161 9834 99.16652661054536 9834 0 0
162 9828 99.13626985114983 9828 0 0
163 9831 99.15139938498095 9831 0 0
164 9836 99.1766101457395 9836 0 0
165 9848 99.23708984044222 9848 0 0
166 9837 99.18165152889924 9837 0 0
167 9856 99.27738916792686 9856 0 0
168 9864 99.31767214348109 9864 0 0
169 9872 99.35793878699377 9872 0 0
170 9865 99.32270636667126 9865 0 0
171 9885 99.42333730065593 9885 0 0
172 9860 99.29753269845128 9860 0 0
173 9877 99.38309715439543 9877 0 0
174 9880 99.39818911831343 9880 0 0
175 9890 99.44847912361456 9890 0 0
176 9886 99.42836617384397 9886 0 0
177 9898 99.48869282486326 9898 0 0
178 9903 99.51381813597547 9903 0 0
179 9889 99.443451267542 9889 0 0
180 9895 99.47361459201129 9895 0 0
181 9895 99.47361459201129 9895 0 0
182 9885 99.42333730065593 9885 0 0
183 9886 99.42836617384397 9886 0 0
184 9898 99.48869282486326 9898 0 0
185 9894 99.46858800646564 9894 0 0
186 9892 99.45853407325085 9892 0 0
187 9878 99.38812806366765 9878 0 0
188 9894 99.46858800646564 9894 0 0
189 9895 99.47361459201129 9895 0 0
190 9894 99.46858800646564 9894 0 0
191 9891 99.45350672550465 9891 0 0
192 9899 99.49371839468057 9899 0 0
193 9906 99.52889027814989 9906 0 0
194 9894 99.46858800646564 9894 0 0
195 9903 99.51381813597547 9903 0 0
196 9913 99.56404973684026 9913 0 0
197 9899 99.49371839468057 9899 0 0
198 9890 99.44847912361456 9890 0 0
199 9902 99.508793581271 9902 0 0
200 9908 99.53893710503444 9908 0 0
