#StageNum, CellCount, Sqrt/log, StemCount, DiffCount, MutantCount
0 5 2.23606797749979 5 0 0
1 8 2.8284271247461903 8 0 0
2 17 4.123105625617661 17 0 0
3 25 5.0 25 0 0
4 40 6.324555320336759 40 0 0
5 50 7.0710678118654755 50 0 0
6 64 8.0 64 0 0
7 82 9.055385138137417 82 0 0
8 106 10.295630140987 106 0 0
9 138 11.74734012447073 138 0 0
10 168 12.96148139681572 168 0 0
11 196 14.0 196 0 0
12 223 14.933184523068078 223 0 0
13 250 15.811388300841896 250 0 0
14 292 17.08800749063506 292 0 0
15 329 18.138357147217054 329 0 0
16 377 19.4164878389476 377 0 0
17 434 20.83266665599966 434 0 0
18 480 21.908902300206645 480 0 0
19 539 23.2163735324878 539 0 0
20 587 24.228082879171435 587 0 0
21 647 25.436194683953808 647 0 0
22 719 26.814175355583846 719 0 0
23 797 28.231188426986208 797 0 0
24 857 29.274562336608895 857 0 0
25 940 30.659419433511783 940 0 0
26 1016 31.874754901018456 1016 0 0
27 1093 33.06055050963308 1093 0 0
28 1183 34.39476704383968 1183 0 0
29 1278 35.749125863438955 1278 0 0
30 1374 37.067505985701274 1374 0 0
31 1476 38.41874542459709 1476 0 0
32 1563 39.534794801541594 1563 0 0
33 1648 40.59556626036888 1648 0 0
34 1771 42.08325082500163 1771 0 0
35 1855 43.069710934716056 1855 0 0
36 1964 44.31703961232068 1964 0 0
37 2071 45.50824101193101 2071 0 0
38 2181 46.70117771534247 2181 0 0
39 2320 48.16637831516918 2320 0 0
40 2418 49.17316341257699 2418 0 0
41 2546 50.457903246171455 2546 0 0
42 2665 51.62363799656123 2665 0 0
43 2776 52.687759489277965 2776 0 0
44 2905 53.898051912847464 2905 0 0
45 3069 55.39855593785816 3069 0 0
46 3192 56.49778756730214 3192 0 0
47 3348 57.86190456595773 3348 0 0
48 3503 59.18614702783076 3503 0 0
49 3665 60.53924347066124 3665 0 0
50 3819 61.7980582219215 3819 0 0
51 4007 63.30086887239384 4007 0 0
52 4140 64.34283176858165 4140 0 0
53 4320 65.72670690061993 4320 0 0
54 4464 66.81317235396027 4464 0 0
55 4632 68.05879810869422 4632 0 0
56 4763 69.01449123191448 4763 0 0
57 4918 70.12845356914696 4918 0 0
58 5121 71.56116265125938 5121 0 0
59 5305 72.83543093852057 5305 0 0
60 5448 73.81056834898374 5448 0 0
61 5605 74.86654793697917 5605 0 0
62 5772 75.97367965289031 5772 0 0
63 5906 76.8505042273634 5906 0 0
64 6051 77.78817390837762 6051 0 0
65 6215 78.835271294009 6215 0 0
66 6339 79.61783719745218 6339 0 0
67 6447 80.2932126645833 6447 0 0
68 6605 81.27115109311545 6605 0 0
69 6730 82.03657720797473 6730 0 0
70 6903 83.08429454475737 6903 0 0
71 7050 83.96427811873333 7050 0 0
72 7202 84.86459803710851 7202 0 0
73 7366 85.82540416450132 7366 0 0
74 7465 86.40023148117139 7465 0 0
75 7591 87.12634503983281 7591 0 0
