#StageNum, CellCount, Sqrt/log, StemCount, DiffCount, MutantCount
0 5 1.6094379124341003 5 0 0
1 13 2.5649493574615367 13 0 0
2 25 3.2188758248682006 25 0 0
3 70 4.248495242049359 70 0 0
4 205 5.3230099791384085 205 0 0
5 535 6.282266746896006 535 0 0
6 1322 7.186901020411631 1322 0 0
7 2842 7.952263308657046 2842 0 0
8 5128 8.542470998600505 5128 0 0
9 7320 8.898365606955357 7320 0 0
10 8725 9.073947747070628 8725 0 0
11 9397 9.148145768383065 9397 0 0
12 9704 9.180293450623886 9704 0 0
13 9794 9.189525232262262 9794 0 0
14 9854 9.195632743103909 9854 0 0
15 9845 9.194718991073225 9845 0 0
16 9844 9.194617411510947 9844 0 0
17 9854 9.195632743103909 9854 0 0
18 9846 9.194820560318146 9846 0 0
19 9884 9.1986725671085 9884 0 0
20 9872 9.197457746145169 9872 0 0
21 9869 9.197153810172008 9869 0 0
22 9876 9.19786285046507 9876 0 0
23 9873 9.19755903761145 9873 0 0
24 9874 9.197660318818809 9874 0 0
25 9864 9.19664704484418 9864 0 0
26 9850 9.195226734166134 9850 0 0
27 9873 9.19755903761145 9873 0 0
28 9865 9.196748418456716 9865 0 0
29 9859 9.196140022575042 9859 0 0
30 9851 9.19532825185568 9851 0 0
31 9858 9.196038587265322 9858 0 0
32 9844 9.194617411510947 9844 0 0
33 9830 9.193194213141211 9830 0 0
34 9841 9.194312610898985 9841 0 0
35 9868 9.197052477649247 9868 0 0
36 9859 9.196140022575042 9859 0 0
37 9872 9.197457746145169 9872 0 0
38 9881 9.198369000194964 9881 0 0
39 9870 9.197255132427527 9870 0 0
40 9850 9.195226734166134 9850 0 0
41 9884 9.1986725671085 9884 0 0
42 9865 9.196748418456716 9865 0 0
43 9878 9.19806534110057 9878 0 0
44 9868 9.197052477649247 9868 0 0
45 9855 9.19573421958682 9855 0 0
46 9866 9.196849781793684 9866 0 0
47 9876 9.19786285046507 9876 0 0
48 9880 9.198267790741914 9880 0 0
49 9882 9.198470199405696 9882 0 0
50 9877 9.197964100908127 9877 0 0
51 9864 9.19664704484418 9864 0 0
52 9855 9.19573421958682 9855 0 0
53 9862 9.196444266784072 9862 0 0
54 9859 9.196140022575042 9859 0 0
55 9874 9.197660318818809 9874 0 0
